HEADER	5	7	5	17	34	100
ITEM	0	1
ITEM	1	2
ITEM	2	1
ITEM	3	2
ITEM	4	2
BOM	0	0	2	28	0	1
BOM	0	0	3	8	0	1
BOM	1	0	1	16	0	1
BOM	1	1	6	-1	1	0
BOM	2	0	0	21	0	1
BOM	2	0	3	68	0	1
BOM	2	0	4	54	0	1
BOM	3	0	0	44	0	1
BOM	3	0	3	39	0	1
BOM	3	0	4	31	0	1
BOM	3	1	5	-1	1	0
BOM	3	1	6	-1	1	0
BOM	4	0	0	96	0	1
BOM	4	0	2	61	0	1
BOM	4	0	3	22	0	1
BOM	4	1	5	-1	1	0
BOM	4	1	6	-1	1	0
COMBI	0	2	2	0
COMBI	0	2	3	4438
COMBI	0	2	4	5518
COMBI	0	3	2	0
COMBI	0	3	3	0
COMBI	0	3	4	17451
COMBI	0	4	2	0
COMBI	0	4	3	17451
COMBI	0	4	4	0
COMBI	1	1	1	0
COMBI	2	0	0	0
COMBI	2	0	4	0
COMBI	2	4	0	0
COMBI	2	4	4	0
COMBI	3	0	0	0
COMBI	3	0	2	0
COMBI	3	0	3	8183
COMBI	3	0	4	17425
COMBI	3	2	0	0
COMBI	3	2	2	0
COMBI	3	2	3	8027
COMBI	3	2	4	943
COMBI	3	3	0	0
COMBI	3	3	2	0
COMBI	3	3	3	0
COMBI	3	3	4	9622
COMBI	3	4	0	0
COMBI	3	4	2	0
COMBI	3	4	3	9622
COMBI	3	4	4	0
COMBI	4	2	2	0
COMBI	4	2	3	7583
COMBI	4	3	2	0
COMBI	4	3	3	0
ORDER	0	0	10665	35689	1	52	7203
ORDER	1	4	3424	43817	48	48	4009
ORDER	2	4	4673	48325	23	23	8430
ORDER	3	1	6844	24857	62	1922	7001
ORDER	4	2	6862	41969	70	1330	1714
ORDER	5	4	988	47710	24	24	9495
ORDER	6	2	1612	33436	10	190	8619
ORDER	7	4	9716	44075	62	62	6799
ORDER	8	2	16614	33289	55	1045	9889
ORDER	9	1	206	44336	53	1643	9006
ORDER	10	1	16945	43719	32	992	4975
ORDER	11	0	7868	33535	56	2912	1871
ORDER	12	2	108	35217	39	741	5585
ORDER	13	3	24225	38606	8	664	5447
ORDER	14	3	262	49679	62	5146	761
ORDER	15	0	12249	41584	81	4212	7629
ORDER	16	1	7175	30755	43	1333	2644
ORDER	17	4	13542	26875	48	48	7868
ORDER	18	0	2087	21457	91	4732	8998
ORDER	19	4	6180	28457	82	82	5595
ORDER	20	2	20791	31998	15	285	2556
ORDER	21	4	28207	40823	31	31	491
ORDER	22	0	8952	36548	74	3848	9728
ORDER	23	2	6345	17597	67	1273	4527
ORDER	24	3	31602	44702	37	3071	87
ORDER	25	0	5804	16448	96	4992	5029
ORDER	26	1	20868	46629	9	279	1780
ORDER	27	0	10921	39585	69	3588	5158
ORDER	28	4	2384	22187	22	22	6549
ORDER	29	1	512	49925	9	279	8539
ORDER	30	1	73	49323	54	1674	5392
ORDER	31	0	8728	46934	93	4836	2961
ORDER	32	0	3360	29907	84	4368	9465
ORDER	33	2	29254	43343	71	1349	8886
ORDER	34	4	24550	48689	24	24	9950
ORDER	35	4	5963	45882	35	35	1094
ORDER	36	1	283	42950	29	899	6325
ORDER	37	0	2747	30349	94	4888	2801
ORDER	38	4	18	49844	89	89	4821
ORDER	39	0	947	23911	25	1300	1593
ORDER	40	1	753	44560	98	3038	2412
ORDER	41	4	9659	44687	44	44	8694
ORDER	42	1	899	24135	44	1364	6624
ORDER	43	3	10546	33851	14	1162	4537
ORDER	44	1	4606	44676	79	2449	1949
ORDER	45	1	22641	35306	56	1736	1581
ORDER	46	2	7169	18260	43	817	2770
ORDER	47	4	15539	30610	13	13	1550
ORDER	48	3	6691	40964	32	2656	1804
ORDER	49	1	19472	40320	25	775	3792
ORDER	50	2	6042	38722	75	1425	7528
ORDER	51	2	3202	46192	85	1615	4382
ORDER	52	2	3582	42207	31	589	6945
ORDER	53	3	23757	40880	34	2822	7067
ORDER	54	1	29616	47220	83	2573	211
ORDER	55	3	21643	45485	11	913	6663
ORDER	56	0	12826	42866	66	3432	9589
ORDER	57	4	1593	33248	71	71	2964
ORDER	58	4	1237	49063	100	100	9462
ORDER	59	1	12360	26518	85	2635	4939
ORDER	60	2	347	27168	77	1463	1326
ORDER	61	3	19441	48609	76	6308	5388
ORDER	62	3	124	48288	26	2158	7960
ORDER	63	2	6235	41082	35	665	476
ORDER	64	1	1316	30726	88	2728	1226
ORDER	65	2	755	48907	65	1235	5435
ORDER	66	4	14768	46217	39	39	5173
ORDER	67	3	2661	16730	49	4067	8190
ORDER	68	2	12558	30714	43	817	2303
ORDER	69	4	19883	45957	55	55	3162
ORDER	70	4	9706	40161	61	61	6079
ORDER	71	1	56	46444	99	3069	5637
ORDER	72	0	11141	31381	67	3484	7971
ORDER	73	3	7553	46835	64	5312	8547
ORDER	74	0	865	48377	37	1924	1475
ORDER	75	3	27667	49955	26	2158	3060
ORDER	76	3	19668	36957	42	3486	571
ORDER	77	0	8248	48568	13	676	5576
ORDER	78	0	2498	47543	37	1924	5218
ORDER	79	1	273	48128	45	1395	9107
ORDER	80	1	8367	49873	100	3100	4880
ORDER	81	4	100	36055	30	30	2611
ORDER	82	2	10989	43302	15	285	6596
ORDER	83	0	26559	49420	91	4732	5999
ORDER	84	2	473	49809	96	1824	5477
ORDER	85	3	3710	30139	21	1743	9351
ORDER	86	2	6956	39466	79	1501	5366
ORDER	87	0	781	28044	90	4680	9838
ORDER	88	0	21978	40108	63	3276	9051
ORDER	89	3	17795	38791	32	2656	8201
ORDER	90	3	5575	38182	24	1992	9736
ORDER	91	2	21413	36589	66	1254	9474
ORDER	92	0	2165	33960	21	1092	2104
ORDER	93	2	9499	31420	73	1387	666
ORDER	94	3	8524	34834	47	3901	457
ORDER	95	4	13301	49350	20	20	1825
ORDER	96	4	11153	35413	87	87	9843
ORDER	97	3	8093	37671	35	2905	6668
ORDER	98	1	20113	43734	100	3100	2999
ORDER	99	4	8063	40699	97	97	4354
