769	378	378	10310	0	15	24	38	32	46	19	26	62	21
951	10310	29199	29349	0	20	13	36	68	14	12	19	35	17
638	29349	39472	46664	0	18	17	51	43	16	12	21	30	29
966	46664	55557	60454	0	30	37	21	17	18	16	53	38	25
392	60454	64131	65742	0	31	21	20	12	64	66	57	46	15
653	65742	77477	78977	0	20	28	15	75	16	54	38	14	13
369	78977	97537	99877	0	20	13	36	68	14	12	19	35	17
402	99877	106347	106734	0	31	21	20	12	64	66	57	46	15
706	106734	108839	113309	0	20	13	36	68	14	12	19	35	17
933	113309	113309	113549	0	20	13	36	68	14	12	19	35	17
888	113549	130190	140310	0	61	28	15	20	59	36	19	29	16
365	140310	154370	155963	0	31	21	20	12	64	66	57	46	15
60	155963	156462	163530	0	18	17	51	43	16	12	21	30	29
204	163530	169151	170474	0	31	21	20	12	64	66	57	46	15
446	170474	190109	195621	0	15	24	38	32	46	19	26	62	21
901	195621	213837	214080	0	31	21	20	12	64	66	57	46	15
714	214080	214080	215368	4	12	32	24	14	68	38	46	13	16
990	214080	224185	231704	0	19	12	53	15	30	23	29	47	35
150	231704	234787	241915	0	61	28	15	20	59	36	19	29	16
432	241915	241915	252723	4	12	32	24	14	68	38	46	13	16
19	251447	252723	262447	0	15	24	38	32	46	19	26	62	21
864	262447	262447	271807	0	15	24	38	32	46	19	26	62	21
179	271807	279610	289699	0	30	37	21	17	18	16	53	38	25
357	289699	289699	295219	3	13	14	22	12	20	16	25	21	33
439	289699	297544	300619	0	20	28	15	75	16	54	38	14	13
6	300619	320051	327799	0	15	24	38	32	46	19	26	62	21
22	327799	344011	346057	0	18	17	51	43	16	12	21	30	29
83	346057	365184	375039	0	19	12	53	15	30	23	29	47	35
492	375039	378122	385778	0	61	28	15	20	59	36	19	29	16
896	385778	385778	399138	3	13	14	22	12	20	16	25	21	33
650	398890	399138	399258	0	20	13	36	68	14	12	19	35	17
370	399258	408238	408651	0	30	37	21	17	18	16	53	38	25
558	408651	423386	426194	0	15	24	38	32	46	19	26	62	21
766	426194	426194	433754	4	12	32	24	14	68	38	46	13	16
838	433754	433754	438174	0	15	24	38	32	46	19	26	62	21
946	438174	457951	461426	0	20	28	15	75	16	54	38	14	13
594	461426	479986	482476	0	20	13	36	68	14	12	19	35	17
943	482476	494863	508368	0	19	12	53	15	30	23	29	47	35
117	508368	508368	513688	4	12	32	24	14	68	38	46	13	16
832	508368	517608	518409	0	31	21	20	12	64	66	57	46	15
781	518409	524996	529952	0	30	37	21	17	18	16	53	38	25
873	529952	529952	532352	3	13	14	22	12	20	16	25	21	33
62	529952	545105	548165	0	20	13	36	68	14	12	19	35	17
260	548165	564806	573694	0	61	28	15	20	59	36	19	29	16
559	573694	573694	580414	4	12	32	24	14	68	38	46	13	16
390	573694	591907	600757	0	30	37	21	17	18	16	53	38	25
735	600757	615492	620848	0	15	24	38	32	46	19	26	62	21
99	620848	620848	623008	3	13	14	22	12	20	16	25	21	33
72	620848	639737	645707	0	20	13	36	68	14	12	19	35	17
688	645707	664749	669249	0	20	28	15	75	16	54	38	14	13
123	669249	669249	673001	4	12	32	24	14	68	38	46	13	16
452	670671	673001	689809	0	61	28	15	20	59	36	19	29	16
214	689809	689809	695857	4	12	32	24	14	68	38	46	13	16
333	689809	706728	707403	0	20	28	15	75	16	54	38	14	13
97	707403	723178	730370	0	18	17	51	43	16	12	21	30	29
941	730370	735991	736549	0	31	21	20	12	64	66	57	46	15
913	736549	743136	752163	0	30	37	21	17	18	16	53	38	25
931	752163	764236	773846	0	18	17	51	43	16	12	21	30	29
947	773846	779467	780007	0	31	21	20	12	64	66	57	46	15
61	780007	780007	783687	3	13	14	22	12	20	16	25	21	33
885	780007	799642	806662	0	15	24	38	32	46	19	26	62	21
119	806662	824878	826165	0	31	21	20	12	64	66	57	46	15
799	826165	828270	833130	0	20	13	36	68	14	12	19	35	17
349	833130	852172	855222	0	20	28	15	75	16	54	38	14	13
126	855222	867162	877959	0	30	37	21	17	18	16	53	38	25
801	877959	877959	878726	0	30	37	21	17	18	16	53	38	25
754	878726	893879	895919	0	20	13	36	68	14	12	19	35	17
671	895919	912560	928400	0	61	28	15	20	59	36	19	29	16
733	928400	946613	956112	0	30	37	21	17	18	16	53	38	25
382	956112	971265	975765	0	20	13	36	68	14	12	19	35	17
684	975765	992406	1001558	0	61	28	15	20	59	36	19	29	16
338	1001558	1001806	1005856	0	20	13	36	68	14	12	19	35	17
450	1005856	1005856	1015376	4	12	32	24	14	68	38	46	13	16
599	1005856	1015979	1026023	0	18	17	51	43	16	12	21	30	29
466	1026023	1031644	1031869	0	31	21	20	12	64	66	57	46	15
249	1031869	1043604	1046704	0	20	28	15	75	16	54	38	14	13
183	1046704	1046704	1051129	0	20	28	15	75	16	54	38	14	13
68	1051129	1051129	1053904	0	20	28	15	75	16	54	38	14	13
795	1053904	1065878	1065914	0	31	21	20	12	64	66	57	46	15
889	1065914	1065914	1067642	0	31	21	20	12	64	66	57	46	15
3	1067642	1077747	1083733	0	19	12	53	15	30	23	29	47	35
155	1083733	1088149	1091453	0	30	37	21	17	18	16	53	38	25
516	1091453	1099298	1100898	0	20	28	15	75	16	54	38	14	13
232	1100898	1103228	1105428	0	61	28	15	20	59	36	19	29	16
27	1105428	1105676	1110896	0	20	13	36	68	14	12	19	35	17
254	1110896	1127537	1131145	0	61	28	15	20	59	36	19	29	16
728	1131145	1148064	1150814	0	20	28	15	75	16	54	38	14	13
887	1150814	1150814	1161118	4	12	32	24	14	68	38	46	13	16
197	1161118	1161118	1161193	0	20	28	15	75	16	54	38	14	13
138	1161193	1163523	1175139	0	61	28	15	20	59	36	19	29	16
999	1175139	1176415	1185203	0	15	24	38	32	46	19	26	62	21
102	1185203	1201415	1207367	0	18	17	51	43	16	12	21	30	29
