HEADER	3	3	2	6	5	30
ITEM	0	2
ITEM	1	2
ITEM	2	2
BOM	0	0	0	100	1	1
BOM	0	1	2	-1	1	1
BOM	1	0	1	100	0	1
BOM	1	1	2	-1	1	0
BOM	2	0	1	100	1	1
BOM	2	1	2	-1	1	0
COMBI	0	0	0	0
COMBI	1	1	1	0
COMBI	1	2	1	10000
COMBI	1	1	2	10000
COMBI	1	2	2	0
ORDER	0	0	0	30000	100	10000	10000
ORDER	1	1	0	30000	100	10000	10000
ORDER	2	2	0	30000	100	10000	10000
ORDER	3	0	0	50000	100	10000	10000
ORDER	4	1	0	50000	100	10000	10000
ORDER	5	2	0	50000	100	10000	10000
ORDER	6	0	0	80000	100	10000	10000
ORDER	7	1	0	80000	100	10000	10000
ORDER	8	2	0	80000	100	10000	10000
ORDER	9	0	0	110000	100	10000	10000
ORDER	10	1	0	110000	100	10000	10000
ORDER	11	2	0	110000	100	10000	10000
ORDER	12	0	0	130000	100	10000	10000
ORDER	13	1	0	130000	100	10000	10000
ORDER	14	2	0	130000	100	10000	10000
ORDER	15	0	0	160000	100	10000	10000
ORDER	16	1	0	160000	100	10000	10000
ORDER	17	2	0	160000	100	10000	10000
ORDER	18	0	0	190000	100	10000	10000
ORDER	19	1	0	190000	100	10000	10000
ORDER	20	2	0	190000	100	10000	10000
ORDER	21	0	0	210000	100	10000	10000
ORDER	22	1	0	210000	100	10000	10000
ORDER	23	2	0	210000	100	10000	10000
ORDER	24	0	0	240000	100	10000	10000
ORDER	25	1	0	240000	100	10000	10000
ORDER	26	2	0	240000	100	10000	10000
ORDER	27	0	0	270000	100	10000	10000
ORDER	28	1	0	270000	100	10000	10000
ORDER	29	2	0	270000	100	10000	10000
