0	0	0	10000	0	2
1	0	0	10000	1	-1
2	10000	20000	30000	1	2
3	20000	20000	30000	0	2
4	30000	40000	50000	1	2
5	50000	60000	70000	1	2
6	60000	60000	70000	0	2
7	70000	80000	90000	1	2
8	90000	100000	110000	1	2
9	100000	100000	110000	0	2
10	110000	120000	130000	1	2
11	130000	140000	150000	1	2
12	140000	140000	150000	0	2
13	150000	160000	170000	1	2
14	170000	180000	190000	1	2
15	180000	180000	190000	0	2
16	190000	200000	210000	1	2
17	210000	220000	230000	1	2
18	220000	220000	230000	0	2
19	230000	240000	250000	1	2
20	250000	260000	270000	1	2
21	260000	260000	270000	0	2
22	270000	280000	290000	1	2
23	290000	300000	310000	1	2
24	300000	300000	310000	0	2
25	310000	320000	330000	1	2
26	330000	340000	350000	1	2
27	340000	340000	350000	0	2
28	350000	360000	370000	1	2
29	370000	380000	390000	1	2
